"filename", "language", "HTML", "PHP", "CSS", "JavaScript", "SCSS", "Markdown", "comment", "blank", "total"
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/s_journal/graph/style/graph.scss", "SCSS", 0, 0, 0, 0, 25, 0, 0, 6, 31
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/s_journal/journal.html", "HTML", 67, 0, 0, 0, 0, 0, 2, 10, 79
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/s_journal/logic/index.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 3, 11
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/s_journal/style/index.css", "CSS", 0, 0, 75, 0, 0, 0, 0, 19, 94
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/s_patients/logic/index.js", "JavaScript", 0, 0, 0, 19, 0, 0, 6, 10, 35
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/s_patients/patients.html", "HTML", 58, 0, 0, 0, 0, 0, 11, 8, 77
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/s_patients/server/db.php", "PHP", 0, 8, 0, 0, 0, 0, 9, 3, 20
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/s_patients/server/patient/getpatientbyname.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 6, 31
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/s_patients/server/patient/getpatientbypid.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 7, 32
"/Users/jorgenfinsveen/Documents/Dokumenter  Joergens MacBook Pro/NTNU Aalesund/3 Semester/IDATA2304/Project/web/s_patients/style/patients.css", "CSS", 0, 0, 136, 0, 0, 0, 1, 24, 161
"Total", "-", 240, 205, 563, 322, 50, 1, 170, 285, 1836
